Age,Gender,Location,Profession,Platform,Total Time Spent,Video Category,Video Length,Number of Videos Watched,Frequency,Watch Reason,DeviceType,Watch Time,Self Control,Addiction Level,CurrentActivity
37,Male,United States,Students,YouTube,255,Life Hacks,11,9,Afternoon,Procrastination,Smartphone,17:00:00,7,3,At home
45,Female,United States,Waiting staff,TikTok,260,Entertainment,16,47,Afternoon,Entertainment,Tablet,17:00:00,7,3,At home
64,Other,Mexico,driver,TikTok,90,Entertainment,9,14,Evening,Entertainment,Tablet,14:00:00,8,2,At home
24,Male,Germany,Students,Facebook,48,Pranks,3,19,Evening,Boredom,Tablet,14:00:00,8,2,Commuting
61,Male,Vietnam,driver,TikTok,45,Trends,5,31,Afternoon,Procrastination,Computer,17:00:00,7,3,At work
25,Other,India,Cashier,TikTok,206,Life Hacks,20,9,Evening,Habit,Smartphone,14:00:00,8,2,At home
64,Male,Japan,Manager,YouTube,167,Life Hacks,14,36,Night,Boredom,Smartphone,21:00:00,5,5,At home
52,Male,Indonesia,Labor/Worker,YouTube,213,Jokes/Memes,28,39,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At school
31,Male,United States,Waiting staff,Facebook,205,Entertainment,26,26,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
34,Male,Vietnam,Waiting staff,Facebook,225,Vlogs,15,8,Night,Entertainment,Tablet,21:00:00,5,5,At school
53,Male,Japan,driver,TikTok,294,Life Hacks,6,24,Night,Habit,Smartphone,21:00:00,5,5,At home
57,Female,Germany,driver,YouTube,205,Entertainment,27,8,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At home
21,Other,United States,Waiting staff,Facebook,161,Jokes/Memes,26,19,Afternoon,Procrastination,Smartphone,17:00:00,7,3,Commuting
19,Male,United States,Waiting staff,Facebook,23,Entertainment,4,47,Evening,Habit,Computer,14:00:00,8,2,At school
23,Male,Vietnam,Students,Instagram,155,ASMR,8,48,Evening,Boredom,Computer,14:00:00,8,2,Commuting
59,Male,United States,Teacher,Facebook,66,Life Hacks,19,30,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At school
21,Other,India,Teacher,TikTok,220,Life Hacks,27,22,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
46,Other,India,Cashier,YouTube,277,Gaming,5,9,Evening,Boredom,Smartphone,14:00:00,8,2,Commuting
35,Male,Mexico,Students,Facebook,219,Trends,13,44,Evening,Boredom,Smartphone,14:00:00,8,2,At home
43,Male,Vietnam,Artist,Instagram,26,Life Hacks,16,48,Night,Habit,Smartphone,21:00:00,5,5,At home
61,Female,Mexico,Students,YouTube,295,Gaming,1,4,Evening,Habit,Computer,14:00:00,8,2,At home
51,Female,Vietnam,Students,Facebook,212,Pranks,13,37,Afternoon,Entertainment,Tablet,17:00:00,7,3,At school
27,Male,Indonesia,Labor/Worker,Instagram,108,Life Hacks,22,8,Night,Boredom,Smartphone,21:00:00,5,5,At home
53,Male,Vietnam,Engineer,Facebook,288,Comedy,11,1,Evening,Entertainment,Computer,14:00:00,8,2,At school
31,Female,Germany,Waiting staff,YouTube,218,Jokes/Memes,21,28,Night,Boredom,Smartphone,21:00:00,5,5,At home
48,Other,Philippines,driver,YouTube,138,Jokes/Memes,8,6,Night,Procrastination,Computer,21:00:00,5,5,At school
32,Male,United States,Labor/Worker,YouTube,297,Jokes/Memes,25,47,Night,Habit,Smartphone,21:00:00,5,5,At home
25,Female,India,driver,TikTok,261,Pranks,8,36,Night,Procrastination,Smartphone,21:00:00,5,5,Commuting
31,Male,India,Labor/Worker,Facebook,274,Life Hacks,24,11,Afternoon,Procrastination,Tablet,17:00:00,7,3,Commuting
40,Other,Japan,Labor/Worker,TikTok,280,Vlogs,28,5,Evening,Boredom,Smartphone,14:00:00,8,2,At school
57,Male,United States,driver,YouTube,197,Jokes/Memes,14,24,Night,Habit,Tablet,21:00:00,5,5,At school
38,Male,United States,driver,Instagram,223,Gaming,13,47,Evening,Habit,Smartphone,14:00:00,8,2,At home
33,Male,Pakistan,Labor/Worker,Facebook,292,Jokes/Memes,3,18,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At school
62,Male,Philippines,Students,TikTok,220,Pranks,4,20,Evening,Entertainment,Smartphone,14:00:00,8,2,Commuting
35,Male,India,Waiting staff,Facebook,85,Entertainment,27,28,Afternoon,Boredom,Smartphone,17:00:00,7,3,At work
64,Male,Barzil,Labor/Worker,Instagram,157,Jokes/Memes,20,13,Night,Boredom,Tablet,21:00:00,5,5,At home
41,Other,India,Waiting staff,TikTok,222,Life Hacks,15,5,Night,Entertainment,Smartphone,21:00:00,5,5,At home
43,Female,Indonesia,Engineer,YouTube,118,Trends,15,30,Night,Habit,Computer,21:00:00,5,5,At home
42,Other,United States,Manager,TikTok,138,Life Hacks,27,1,Night,Entertainment,Computer,21:00:00,5,5,At home
62,Female,United States,Students,Facebook,19,Jokes/Memes,21,22,Night,Boredom,Smartphone,21:00:00,5,5,At work
58,Female,Germany,Waiting staff,Facebook,56,Jokes/Memes,13,18,Night,Entertainment,Smartphone,21:00:00,5,5,At school
46,Male,United States,Waiting staff,Facebook,105,Jokes/Memes,9,46,Afternoon,Boredom,Tablet,17:00:00,7,3,At school
32,Male,India,Students,Facebook,112,Jokes/Memes,28,5,Night,Boredom,Smartphone,21:00:00,5,5,Commuting
62,Female,India,Students,YouTube,155,Trends,25,31,Night,Habit,Smartphone,21:00:00,5,5,At school
18,Male,India,driver,TikTok,36,Vlogs,10,6,Night,Boredom,Tablet,21:00:00,5,5,At work
42,Other,Vietnam,Manager,YouTube,229,Life Hacks,29,27,Evening,Habit,Computer,14:00:00,8,2,At work
24,Other,Pakistan,Students,YouTube,27,Jokes/Memes,12,25,Morning,Habit,Smartphone,08:00:00,10,0,At home
26,Male,United States,Students,YouTube,176,ASMR,14,29,Evening,Boredom,Smartphone,14:00:00,8,2,At home
41,Female,United States,Waiting staff,Facebook,91,Jokes/Memes,1,28,Afternoon,Entertainment,Tablet,17:00:00,7,3,At work
18,Male,India,Engineer,Facebook,81,ASMR,14,16,Night,Entertainment,Smartphone,21:00:00,5,5,At work
61,Female,Mexico,Waiting staff,Facebook,263,Pranks,14,12,Evening,Boredom,Tablet,14:00:00,8,2,At home
25,Male,Germany,Engineer,TikTok,171,Vlogs,8,20,Afternoon,Boredom,Tablet,17:00:00,7,3,At work
41,Male,Germany,Waiting staff,Instagram,47,Jokes/Memes,16,18,Night,Boredom,Smartphone,21:00:00,5,5,Commuting
28,Male,India,Engineer,Facebook,210,Jokes/Memes,14,34,Night,Entertainment,Smartphone,21:00:00,5,5,At school
34,Female,Japan,Engineer,TikTok,209,Gaming,1,23,Night,Habit,Tablet,21:00:00,5,5,At work
25,Female,India,driver,Facebook,264,Gaming,16,45,Night,Habit,Smartphone,21:00:00,5,5,At home
52,Male,Philippines,Labor/Worker,Facebook,188,Comedy,18,27,Evening,Entertainment,Smartphone,14:00:00,8,2,At home
52,Female,Japan,Labor/Worker,YouTube,44,Jokes/Memes,7,49,Night,Habit,Smartphone,21:00:00,5,5,At home
50,Male,Barzil,Waiting staff,YouTube,91,Pranks,15,17,Night,Entertainment,Smartphone,21:00:00,5,5,At work
22,Male,Mexico,Artist,YouTube,229,Gaming,24,48,Evening,Entertainment,Computer,14:00:00,8,2,At home
59,Male,Germany,Labor/Worker,TikTok,167,Jokes/Memes,17,21,Night,Procrastination,Tablet,21:00:00,5,5,At work
56,Female,India,Waiting staff,Instagram,13,Jokes/Memes,19,40,Night,Entertainment,Smartphone,21:00:00,5,5,At home
58,Female,Barzil,Labor/Worker,Instagram,176,Pranks,23,31,Evening,Habit,Smartphone,14:00:00,8,2,At home
45,Female,Vietnam,Labor/Worker,TikTok,213,Jokes/Memes,13,3,Evening,Procrastination,Smartphone,14:00:00,8,2,At work
24,Male,Indonesia,Teacher,Facebook,203,Jokes/Memes,9,17,Evening,Boredom,Computer,14:00:00,8,2,At home
26,Male,United States,Students,TikTok,244,Entertainment,24,26,Night,Habit,Smartphone,21:00:00,5,5,At school
25,Male,Barzil,Students,Facebook,215,Life Hacks,24,23,Night,Boredom,Smartphone,21:00:00,5,5,At school
29,Female,Philippines,Cashier,TikTok,159,Entertainment,15,6,Evening,Habit,Smartphone,14:00:00,8,2,At work
51,Male,United States,driver,TikTok,168,Life Hacks,25,28,Evening,Habit,Smartphone,14:00:00,8,2,At work
50,Other,India,Labor/Worker,TikTok,288,Life Hacks,26,8,Evening,Habit,Smartphone,14:00:00,8,2,At work
40,Female,Pakistan,Engineer,Instagram,175,Gaming,3,45,Night,Habit,Smartphone,21:00:00,5,5,At home
41,Other,Vietnam,Labor/Worker,YouTube,77,Life Hacks,24,8,Night,Habit,Tablet,21:00:00,5,5,At work
54,Other,Barzil,Labor/Worker,TikTok,97,Gaming,1,19,Night,Habit,Tablet,21:00:00,5,5,At home
52,Female,Mexico,Artist,Instagram,226,Trends,16,38,Evening,Habit,Smartphone,14:00:00,8,2,Commuting
61,Other,India,Waiting staff,YouTube,10,Comedy,8,29,Evening,Boredom,Smartphone,14:00:00,8,2,At home
57,Male,United States,driver,YouTube,144,ASMR,29,23,Night,Boredom,Smartphone,21:00:00,5,5,At home
39,Female,India,driver,TikTok,194,Gaming,23,47,Evening,Entertainment,Tablet,14:00:00,8,2,At school
44,Female,Barzil,Cashier,Facebook,149,Pranks,13,32,Night,Habit,Computer,21:00:00,5,5,At school
52,Male,Mexico,Labor/Worker,Facebook,115,Pranks,8,10,Night,Boredom,Smartphone,21:00:00,5,5,At school
18,Other,Philippines,Waiting staff,Facebook,142,Vlogs,17,27,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At school
52,Female,Indonesia,Students,TikTok,117,Jokes/Memes,22,49,Evening,Habit,Tablet,14:00:00,8,2,At home
54,Male,United States,driver,Facebook,187,Vlogs,23,1,Evening,Habit,Smartphone,14:00:00,8,2,At home
64,Male,Indonesia,Artist,Instagram,155,Life Hacks,14,39,Night,Procrastination,Smartphone,21:00:00,5,5,At home
31,Female,India,Waiting staff,Instagram,83,ASMR,27,29,Night,Entertainment,Tablet,21:00:00,5,5,Commuting
20,Male,India,Students,Instagram,117,Vlogs,21,45,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At school
18,Female,Barzil,driver,Instagram,131,Entertainment,21,3,Afternoon,Procrastination,Smartphone,17:00:00,7,3,At home
22,Female,Barzil,Manager,YouTube,26,Life Hacks,7,47,Evening,Entertainment,Computer,14:00:00,8,2,At home
43,Female,Pakistan,Cashier,Instagram,205,Trends,27,37,Night,Boredom,Smartphone,21:00:00,5,5,At home
31,Female,Germany,Labor/Worker,Facebook,261,Entertainment,15,31,Night,Entertainment,Tablet,21:00:00,5,5,At work
56,Male,Pakistan,Students,TikTok,128,Life Hacks,16,11,Morning,Boredom,Tablet,08:00:00,10,0,Commuting
44,Male,India,Students,Facebook,171,Life Hacks,19,22,Afternoon,Procrastination,Computer,17:00:00,7,3,At school
26,Female,India,Students,Instagram,207,Jokes/Memes,6,18,Afternoon,Habit,Tablet,17:00:00,7,3,At work
32,Male,India,Engineer,YouTube,54,Gaming,23,35,Evening,Procrastination,Smartphone,14:00:00,8,2,At home
32,Female,Pakistan,Engineer,Instagram,188,Life Hacks,1,6,Evening,Habit,Smartphone,14:00:00,8,2,At school
43,Female,Mexico,Engineer,TikTok,53,Pranks,12,3,Night,Entertainment,Smartphone,21:00:00,5,5,Commuting
59,Male,Mexico,Waiting staff,Facebook,280,Life Hacks,18,5,Morning,Entertainment,Smartphone,08:00:00,10,0,At work
30,Other,India,Engineer,TikTok,87,Life Hacks,16,9,Evening,Habit,Tablet,14:00:00,8,2,Commuting
49,Male,Vietnam,Waiting staff,TikTok,187,Life Hacks,12,28,Night,Procrastination,Smartphone,21:00:00,5,5,At work
56,Male,Germany,Labor/Worker,TikTok,12,Jokes/Memes,20,19,Morning,Procrastination,Smartphone,08:00:00,10,0,At home
49,Other,Mexico,Engineer,Facebook,223,Vlogs,13,28,Evening,Boredom,Smartphone,14:00:00,8,2,At home
21,Male,Japan,Cashier,Instagram,83,Trends,8,27,Evening,Habit,Smartphone,14:00:00,8,2,At school
47,Other,United States,Artist,TikTok,60,Entertainment,27,13,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
54,Male,India,driver,Facebook,76,Gaming,29,38,Night,Habit,Tablet,21:00:00,5,5,At home
40,Male,India,Students,YouTube,102,Life Hacks,26,43,Evening,Entertainment,Smartphone,14:00:00,8,2,At home
56,Other,India,Waiting staff,Facebook,185,Trends,22,21,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
62,Male,United States,Students,YouTube,154,Entertainment,1,27,Night,Boredom,Smartphone,21:00:00,5,5,At school
32,Male,United States,Students,Facebook,16,Vlogs,26,46,Afternoon,Boredom,Smartphone,17:00:00,7,3,At home
60,Female,Japan,Students,Instagram,278,Pranks,21,6,Night,Boredom,Smartphone,21:00:00,5,5,At work
46,Other,Pakistan,driver,TikTok,13,Pranks,7,38,Night,Boredom,Tablet,21:00:00,5,5,At school
53,Female,Vietnam,Manager,Instagram,147,Jokes/Memes,15,49,Evening,Procrastination,Computer,14:00:00,8,2,At school
30,Other,India,Students,Facebook,240,Jokes/Memes,29,11,Evening,Entertainment,Smartphone,14:00:00,8,2,Commuting
49,Male,India,Waiting staff,TikTok,97,Life Hacks,22,47,Afternoon,Entertainment,Tablet,17:00:00,7,3,At work
24,Male,Indonesia,Labor/Worker,YouTube,26,Trends,13,41,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
39,Other,Japan,Students,Facebook,61,Gaming,13,17,Night,Boredom,Smartphone,21:00:00,5,5,At work
45,Male,India,Manager,TikTok,143,Entertainment,28,39,Evening,Entertainment,Smartphone,14:00:00,8,2,At home
19,Male,Japan,Cashier,YouTube,220,Jokes/Memes,9,7,Evening,Boredom,Smartphone,14:00:00,8,2,Commuting
59,Male,Japan,Engineer,YouTube,228,Entertainment,24,30,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At work
62,Male,Philippines,Labor/Worker,Instagram,214,Gaming,15,21,Evening,Habit,Computer,14:00:00,8,2,At school
23,Male,Japan,Students,Facebook,220,Gaming,4,1,Evening,Entertainment,Tablet,14:00:00,8,2,At school
45,Female,United States,Waiting staff,YouTube,286,Trends,13,25,Afternoon,Habit,Smartphone,17:00:00,7,3,At work
45,Female,Philippines,Labor/Worker,TikTok,33,Trends,27,32,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At home
61,Male,Japan,driver,YouTube,13,Life Hacks,12,8,Afternoon,Habit,Smartphone,17:00:00,7,3,At school
61,Male,Germany,Students,YouTube,161,Jokes/Memes,5,5,Night,Entertainment,Tablet,21:00:00,5,5,At work
37,Female,United States,Cashier,Instagram,268,Entertainment,7,30,Night,Habit,Smartphone,21:00:00,5,5,At work
47,Male,India,Cashier,Instagram,177,Gaming,8,8,Evening,Entertainment,Tablet,14:00:00,8,2,At home
28,Male,Philippines,Students,TikTok,185,ASMR,5,49,Night,Entertainment,Smartphone,21:00:00,5,5,Commuting
45,Female,Indonesia,Teacher,Instagram,65,Life Hacks,9,19,Evening,Habit,Smartphone,14:00:00,8,2,At work
42,Male,United States,Waiting staff,YouTube,117,ASMR,14,44,Morning,Boredom,Smartphone,08:00:00,10,0,At home
56,Female,Indonesia,Labor/Worker,YouTube,150,Trends,26,30,Evening,Boredom,Tablet,14:00:00,8,2,At school
50,Male,India,driver,Instagram,164,Trends,12,15,Afternoon,Habit,Smartphone,17:00:00,7,3,At work
18,Other,Indonesia,Waiting staff,YouTube,271,Vlogs,4,36,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At home
44,Female,India,Engineer,YouTube,282,Life Hacks,20,44,Evening,Procrastination,Computer,14:00:00,8,2,At school
30,Female,India,driver,TikTok,241,Life Hacks,29,27,Evening,Procrastination,Tablet,14:00:00,8,2,At school
58,Male,Philippines,Labor/Worker,Instagram,250,Jokes/Memes,8,13,Evening,Habit,Smartphone,14:00:00,8,2,At school
20,Female,Japan,Cashier,YouTube,267,ASMR,17,14,Evening,Habit,Tablet,14:00:00,8,2,At school
56,Male,Barzil,Labor/Worker,Instagram,258,Pranks,8,37,Night,Entertainment,Smartphone,21:00:00,5,5,At home
23,Male,India,Labor/Worker,TikTok,86,Jokes/Memes,21,48,Evening,Entertainment,Smartphone,14:00:00,8,2,At work
25,Male,Philippines,Artist,Instagram,189,Entertainment,29,30,Afternoon,Procrastination,Tablet,17:00:00,7,3,At home
44,Male,Germany,Waiting staff,YouTube,75,Life Hacks,27,39,Morning,Procrastination,Smartphone,08:00:00,10,0,At work
26,Female,India,driver,Instagram,180,Entertainment,1,47,Morning,Entertainment,Smartphone,08:00:00,10,0,Commuting
54,Male,Mexico,Teacher,YouTube,31,Pranks,20,13,Morning,Habit,Smartphone,08:00:00,10,0,At home
50,Male,Indonesia,Engineer,YouTube,116,Entertainment,2,16,Evening,Boredom,Smartphone,14:00:00,8,2,At work
59,Other,Barzil,driver,YouTube,236,Life Hacks,4,44,Evening,Entertainment,Smartphone,14:00:00,8,2,At home
61,Male,Japan,Waiting staff,TikTok,225,Jokes/Memes,24,7,Evening,Habit,Smartphone,14:00:00,8,2,At home
41,Female,United States,Labor/Worker,Instagram,78,Vlogs,21,48,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At home
32,Other,India,Teacher,TikTok,93,Trends,1,27,Evening,Habit,Tablet,14:00:00,8,2,At school
49,Male,Vietnam,Waiting staff,Instagram,112,Life Hacks,7,45,Evening,Habit,Tablet,14:00:00,8,2,At home
49,Male,Pakistan,Waiting staff,TikTok,48,Jokes/Memes,1,35,Evening,Habit,Smartphone,14:00:00,8,2,At home
41,Male,Barzil,Manager,Facebook,22,Gaming,9,15,Night,Habit,Smartphone,21:00:00,5,5,At work
58,Male,United States,Artist,YouTube,190,Pranks,3,28,Morning,Boredom,Computer,08:00:00,10,0,At home
29,Male,India,Students,YouTube,277,Entertainment,12,35,Evening,Boredom,Smartphone,14:00:00,8,2,Commuting
56,Other,Vietnam,Labor/Worker,TikTok,22,Pranks,19,7,Evening,Entertainment,Tablet,14:00:00,8,2,At school
19,Female,Philippines,driver,Facebook,129,Jokes/Memes,15,46,Morning,Habit,Computer,08:00:00,10,0,At home
20,Female,Japan,Labor/Worker,YouTube,66,Trends,22,46,Evening,Habit,Smartphone,14:00:00,8,2,At home
54,Female,India,Artist,Instagram,49,Gaming,16,20,Night,Habit,Smartphone,21:00:00,5,5,At school
34,Male,India,Students,TikTok,137,Trends,10,32,Night,Boredom,Computer,21:00:00,5,5,Commuting
19,Male,India,Engineer,YouTube,182,Gaming,22,38,Evening,Boredom,Computer,14:00:00,8,2,At school
19,Male,India,Waiting staff,YouTube,44,Life Hacks,29,40,Night,Habit,Smartphone,20:30:00,5,5,At school
45,Female,Vietnam,Waiting staff,TikTok,268,Comedy,27,32,Evening,Habit,Smartphone,15:45:00,8,2,Commuting
40,Male,Indonesia,driver,TikTok,14,Entertainment,27,26,Night,Habit,Smartphone,20:30:00,5,5,At home
54,Male,Pakistan,driver,Instagram,227,Entertainment,6,39,Evening,Procrastination,Computer,15:45:00,8,2,At school
49,Female,Germany,Students,Instagram,20,Gaming,29,20,Evening,Habit,Tablet,15:45:00,8,2,At home
50,Other,India,Manager,YouTube,126,Vlogs,17,18,Afternoon,Habit,Smartphone,18:05:00,7,3,At work
18,Other,Mexico,Waiting staff,YouTube,193,Trends,21,15,Evening,Boredom,Smartphone,15:45:00,8,2,At school
36,Female,Pakistan,Labor/Worker,TikTok,125,Life Hacks,28,22,Evening,Habit,Smartphone,15:45:00,8,2,At work
19,Male,India,Students,YouTube,171,Jokes/Memes,22,22,Evening,Boredom,Smartphone,15:45:00,8,2,At school
61,Male,Japan,Artist,YouTube,76,Entertainment,24,21,Night,Habit,Tablet,20:30:00,5,5,At home
43,Male,India,Engineer,TikTok,209,Gaming,29,2,Evening,Entertainment,Computer,15:45:00,8,2,At home
49,Male,United States,Waiting staff,YouTube,40,Life Hacks,17,40,Morning,Procrastination,Smartphone,09:15:00,10,0,At home
23,Other,Pakistan,Manager,YouTube,84,Comedy,21,43,Night,Procrastination,Smartphone,20:30:00,5,5,Commuting
49,Male,Mexico,Manager,Facebook,246,Pranks,19,18,Night,Procrastination,Smartphone,20:30:00,5,5,At home
21,Male,India,Students,Instagram,75,Trends,18,23,Night,Boredom,Smartphone,20:30:00,5,5,At school
28,Male,Indonesia,Students,TikTok,79,Life Hacks,11,13,Evening,Entertainment,Computer,15:45:00,8,2,At work
34,Other,Vietnam,Waiting staff,Facebook,29,Vlogs,24,41,Afternoon,Entertainment,Tablet,18:05:00,7,3,At school
55,Other,United States,Students,Instagram,235,ASMR,7,9,Evening,Habit,Tablet,15:45:00,8,2,At school
41,Male,Philippines,Labor/Worker,Instagram,208,Life Hacks,10,49,Evening,Boredom,Tablet,15:45:00,8,2,At home
22,Male,Pakistan,Manager,Instagram,48,Pranks,7,7,Evening,Boredom,Smartphone,15:45:00,8,2,At work
51,Male,Japan,Engineer,Facebook,154,Entertainment,5,41,Night,Habit,Computer,20:30:00,5,5,At work
23,Male,Vietnam,Engineer,Facebook,54,Trends,12,1,Night,Habit,Smartphone,20:30:00,5,5,At school
39,Other,United States,Manager,Instagram,100,Gaming,16,2,Evening,Habit,Tablet,15:45:00,8,2,At home
28,Male,India,Labor/Worker,YouTube,247,Life Hacks,29,4,Night,Entertainment,Computer,20:30:00,5,5,At home
33,Female,United States,Students,YouTube,79,Pranks,25,14,Night,Boredom,Tablet,20:30:00,5,5,At school
50,Male,Vietnam,Cashier,Facebook,175,Life Hacks,21,32,Night,Entertainment,Tablet,20:30:00,5,5,At school
26,Other,United States,Students,Facebook,139,Life Hacks,18,36,Night,Boredom,Smartphone,20:30:00,5,5,At home
